"id","latitude","longitude","price","accommodates","room_type","host_id"
"24198903",-3.70776392044484,40.4262112479075,49,1,"Private room","airbnb107875484"
"24172138",-3.70764373232869,40.4266928564895,48,2,"Entire home/apt","airbnb132068213"
"16343582",-3.7074542175226,40.4265193855639,115,3,"Entire home/apt","airbnb96436426"
"22758306",-3.7074563427649,40.4263377340259,127,4,"Entire home/apt","airbnb62786716"
"16320740",-3.70716423960268,40.4262436538102,175,6,"Entire home/apt","airbnb96436426"
"16320103",-3.7070898684175,40.4259772410914,108,4,"Entire home/apt","airbnb96436426"
"16320453",-3.70696646212038,40.4257326906681,108,3,"Entire home/apt","airbnb96436426"
"3481204",-3.70680988152656,40.4257010943142,100,5,"Entire home/apt","airbnb11535546"
"23440848",-3.70681892912983,40.4257369840048,83,2,"Entire home/apt","airbnb26839619"
"15198031",-3.70639456631589,40.4255639581326,115,3,"Entire home/apt","airbnb96436426"
"16343707",-3.70629185288001,40.4261081012064,105,4,"Entire home/apt","airbnb96436426"
"18302341",-3.70624253603861,40.4260264716087,274,2,"Entire home/apt","airbnb16803466"
"8235884",-3.70565689596401,40.4257405592285,85,4,"Entire home/apt","airbnb28786243"
"18075374",-3.70605329935931,40.4260019393815,64,1,"Private room","airbnb21977882"
"19014187",-3.70550900973271,40.4261738999712,18,1,"Private room","airbnb132364950"
"8261224",-3.70544142756764,40.426385086825,35,1,"Private room","airbnb12417209"
"870704",-3.70622072002161,40.4273654938648,69,2,"Entire home/apt","airbnb4589042"
"2604097",-3.70623225770245,40.4268696545757,55,4,"Entire home/apt","airbnb13336994"
"20482510",-3.70637522585996,40.426884170235,29,2,"Private room","airbnb18718808"
"18424138",-3.70568312800351,40.4270996603279,40,2,"Entire home/apt","airbnb3733331"
"18976125",-3.70587213949954,40.4275652262264,20,2,"Private room","airbnb132364950"
"11864191",-3.70561862893104,40.4275693723137,125,7,"Entire home/apt","airbnb4190343"
"23654301",-3.70560742834099,40.4274782355787,84,4,"Entire home/apt","airbnb162425179"
"22353655",-3.70573313718046,40.4278687158993,95,3,"Entire home/apt","airbnb107890719"
"9727359",-3.70552991176147,40.4278174590948,60,4,"Entire home/apt","airbnb4190343"
"19645887",-3.7066927069769,40.4276066820738,48,2,"Entire home/apt","airbnb14290111"
"18154845",-3.70721642241641,40.4278078285658,32,2,"Private room","airbnb20562400"
"1677459",-3.70711017043996,40.427681721398,35,2,"Private room","airbnb6498815"
"19420591",-3.70729740271546,40.4276191347341,150,2,"Entire home/apt","airbnb136160383"
"19823829",-3.7069397724005,40.4272718814362,38,2,"Private room","airbnb128147665"
"22943818",-3.70764058507526,40.4268646822845,22,1,"Shared room","airbnb169887820"
"22944077",-3.70765847550998,40.4270122645226,22,1,"Shared room","airbnb169887820"
"23377510",-3.70792279634418,40.4269430714999,25,1,"Private room","airbnb154890935"
"16175524",-3.70778583169805,40.4271677550682,78,5,"Entire home/apt","airbnb105491719"
"12487230",-3.7085783278077,40.4276831735107,70,2,"Entire home/apt","airbnb34559710"
"24028623",-3.7085452646818,40.4268718315492,55,4,"Entire home/apt","airbnb160546162"
"4246286",-3.70876830941239,40.4269584829697,112,4,"Entire home/apt","airbnb21430840"
"18623011",-3.71009582582314,40.4275810923185,80,2,"Entire home/apt","airbnb12030420"
"20578126",-3.70946523326001,40.4272189855637,20,2,"Private room","airbnb97886238"
"22944243",-3.70933476841392,40.4268450353959,32,2,"Private room","airbnb169887820"
"23012769",-3.70924388571006,40.4265730769721,76,3,"Entire home/apt","airbnb30752828"
"23745996",-3.70943541913528,40.4263571089473,75,4,"Entire home/apt","airbnb2581962"
"19323891",-3.70973253586716,40.4263610441968,113,4,"Entire home/apt","airbnb56241120"
"8441261",-3.70998031604268,40.4261976170677,25,6,"Private room","airbnb22127357"
"7285267",-3.71014841978859,40.4256999304311,24,2,"Private room","airbnb22127357"
"485116",-3.71011419747083,40.4259980304191,69,4,"Entire home/apt","airbnb2401328"
"23782271",-3.71024212470482,40.4259484738649,89,4,"Entire home/apt","airbnb84419492"
"22938495",-3.71014368539164,40.4256317438499,19,1,"Shared room","airbnb169887820"
"4263031",-3.70967500120132,40.4257933776192,24,2,"Private room","airbnb22127357"
"13712785",-3.70940275329958,40.4260093256752,70,4,"Entire home/apt","airbnb23042837"
"23581874",-3.70950358576673,40.4256882440008,83,4,"Entire home/apt","airbnb176268200"
"23279434",-3.70895036340314,40.4257253259944,102,5,"Entire home/apt","airbnb172128640"
"19035033",-3.70898654387459,40.425983745306,30,2,"Private room","airbnb17759403"
"19588153",-3.70922137412668,40.4257472246376,30,2,"Private room","airbnb130905768"
"8474879",-3.70923131701862,40.4257405567189,33,16,"Shared room","airbnb22127357"
"24170661",-3.70922299849463,40.425798736207,36,2,"Shared room","airbnb9619258"
"23009490",-3.70899530173423,40.4265032411351,102,6,"Entire home/apt","airbnb30752828"
"19232212",-3.70866293868424,40.4263401889001,45,2,"Entire home/apt","airbnb109332453"
"22943969",-3.70799389592261,40.4262626207387,22,1,"Shared room","airbnb169887820"
"18564452",-3.70815861975426,40.4263696203675,35,2,"Private room","airbnb127979358"
"12897162",-3.7083790514186,40.4250995108517,149,4,"Entire home/apt","airbnb3522910"
"23815309",-3.70906239048071,40.4251677584801,68,2,"Entire home/apt","airbnb2541550"
"12399560",-3.70879982384143,40.4249310994207,58,2,"Private room","airbnb2720073"
"3855839",-3.708725166625,40.4250322844604,70,4,"Entire home/apt","airbnb3061930"
"20881847",-3.70919241809386,40.4246836676204,51,1,"Private room","airbnb31775561"
"16484263",-3.70800953811147,40.4247834227433,69,6,"Entire home/apt","airbnb23556536"
"9985497",-3.70799839926036,40.4244035075954,80,4,"Entire home/apt","airbnb4599639"
