id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price,name,img
onlyap561598,https://www.only-apartments.es/_/561598,-3.6969,40.40506,2017-11-30 19:56:38.185000,2018-04-15 02:59:19.544000,onlyap561598,Apartamento,,6,2,2,,Apartamento Walk of the Arts in Madrid up for 6 with WiFi & AC Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/57/46/69/20001574694657-6d61b52b-23d7-4553-9aed-f4c11e7af970.jpg
onlyap402465,https://www.only-apartments.es/_/402465,-3.696889300000066,40.4045674,2017-11-30 19:56:38.186000,2018-01-04 15:24:09.235000,onlyap402465,Apartamento,,4,,1,,Apartamento AREA CENTRAL Madrid,https://lh3.googleusercontent.com/BNHilWd0fq6vjIcg3vH7xvifY5424w5AhhzyHEb3pUo7E5cGo5OLQH1JtJO_AOLu7MktwE4Bj4yP7mcSeCVSZzJvIxT3-eLZw3s=s926
onlyap711994,https://www.only-apartments.es/_/711994,-3.69630029999996,40.4078294,2018-03-31 17:54:22.583000,2018-04-15 01:31:23.986000,onlyap711994,Apartamento,,4,,1,,Apartamento Doctor Fourquet City Center Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/60/77/42/20001575427760-149d9f6a-9c9a-4749-b5d9-b37169b8d806.jpg
onlyap717884,https://www.only-apartments.es/_/717884,-3.69541619999995,40.4068709,2017-11-30 19:56:38.185000,2018-04-14 22:03:51.037000,onlyap717884,Apartamento,,4,3,1,,Apartamento Circo Price City Center Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/44/18/44/20001575441844-5d04a2ed-2985-434b-a111-e807013cad02.jpg
onlyap727197,https://www.only-apartments.es/_/727197,-3.69368480000003,40.4068624,2018-03-31 17:55:35.447000,2018-04-14 21:49:03.594000,onlyap727197,Apartamento,,8,1,3,,Apartamento Emperador Carlos V City Center Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/19/97/50/20001575509719-7d538333-9ca6-48b9-bbc2-8c3b1cb0b033.jpg
onlyap658583,https://www.only-apartments.es/_/658583,-3.6935386999999764,40.4061311,2017-11-30 19:56:38.186000,2018-04-15 00:33:47.840000,onlyap658583,Apartamento,,4,,2,,Apartamento Apartamento Delicias Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/83/85/65/658583-6c469267-5f15-4ace-8ee1-fc36dededed7.jpg
onlyap504666,https://www.only-apartments.es/_/504666,-3.69489,40.4043,2017-11-30 19:56:38.185000,2018-04-14 20:35:03.749000,onlyap504666,Apartamento,,8,,3,,Apartamento Puerta de los Museos Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/97/33/31/20001574313397-a94ff380-8e46-42eb-98ee-c7337ffae424.jpg
onlyap402622,https://www.only-apartments.es/_/402622,-3.69342,40.40359,2017-11-30 19:56:38.185000,2018-04-15 00:20:19.412000,onlyap402622,Apartamento,,5,2,2,,Apartamento DOWNTOWN APT. ATOCHA STATION Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/36/69/66/20001573666936-a94bdcd5-f76e-428a-80e6-9765cafe1dc5.jpg
onlyap727380,https://www.only-apartments.es/_/727380,-3.69301,40.40319,2017-11-30 19:56:38.185000,2018-04-14 18:10:11.405000,onlyap727380,Apartamento,,6,,3,,Apartamento Gran Atocha Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/14/38/51/20001575513814-ec60b012-1ab8-4fa2-a5da-18035dc79617.jpg
onlyap86899,https://www.only-apartments.es/_/86899,-3.6963045,40.3986712,2017-11-30 19:56:38.186000,2018-04-14 19:08:59.686000,onlyap86899,Apartamento,,6,,2,,"Apartamento Arganzuela-Delicias 02 en Madrid, Madrid Madrid",https://images.cerbium.cloud/migoa/tr:n-big/pictures/52/60/74/20000033746052-bafd865e-dcd8-4646-92df-ce1f67a1e11c.jpg
onlyap402386,https://www.only-apartments.es/_/402386,-3.6985824999999295,40.4000612,2017-11-30 19:56:38.186000,2018-01-04 15:27:31.789000,onlyap402386,Estudio,,4,1,2,,Apartamento STUDIO- SKY Madrid,https://lh3.googleusercontent.com/QLAsbVSArz9LM2eoaIwhynpOxqc7Wj7gWJeA6MeYd2n98FMETtEOgeiroVjvVMIevJAAjsWGEJfM0QUKjOqs19__4sBm-tldOw=s863
onlyap509380,https://www.only-apartments.es/_/509380,-3.69846,40.39483,2017-11-30 19:56:38.186000,2018-04-15 02:41:13.268000,onlyap509380,Apartamento,,5,2,2,,Apartamento MATADERO-ARGANZUELA Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/7/46/66/20001573664607-528f154f-f263-4a4d-8191-fd0340c00c7c.jpg
onlyap699848,https://www.only-apartments.es/_/699848,-3.695171,40.396344,2017-11-30 19:56:38.186000,2018-04-15 01:32:18.372000,onlyap699848,Apartamento,,4,,1,,Apartamento Lovely design flat in Madrid Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/68/13/37/20001575371368-c284ee6c-bd1a-4168-926b-0ceb4d65b609.jpg
onlyap690721,https://www.only-apartments.es/_/690721,-3.6924652269836,40.401824661617,2017-11-30 19:56:38.186000,2018-04-15 01:58:19.344000,onlyap690721,Apartamento,,2,,,,Apartamento M (CAN38) Best Offer Madrid Atocha Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/39/56/30/20001575305639-0ae89afe-4aba-4276-bbf4-424587b12386.jpg
onlyap402828,https://www.only-apartments.es/_/402828,-3.69247,40.4028,2017-11-30 19:56:38.186000,2018-04-15 02:48:48.150000,onlyap402828,Apartamento,,6,4,2,,Apartamento ATOCHA MUSEOS Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/84/42/72/20001573724284-e6cb794b-8be9-41bf-ba8f-c384dcac8955.jpg
onlyap401643,https://www.only-apartments.es/_/401643,-3.688,40.39139,2017-11-30 19:56:38.186000,2018-01-04 15:22:28.030000,onlyap401643,Apartamento,,4,4,1,,Apartamento PLANETARIO Madrid,https://lh3.googleusercontent.com/eTmiQVfQcqcRvT2sNTY7NukDXghmdU4fLO-0O8U23YwIimqX5SesF3sKPDwKzWo9_QEvPJ3VjgED51GwJy3Iw0-g7LVgIBprw9Y=s926
onlyap649708,https://www.only-apartments.es/_/649708,-3.6984550952911377,40.37943995524841,2017-11-30 19:56:38.186000,2018-04-15 02:57:52.237000,onlyap649708,Apartamento,,6,1,3,,Apartamento Toprent Tomelloso Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/8/97/64/649708-ec815c81-1644-4216-9ed6-030c41206b2a.jpg
onlyap710563,https://www.only-apartments.es/_/710563,-3.70690579999996,40.3919413,2017-11-30 19:56:38.186000,2018-01-04 15:25:02.678000,onlyap710563,Apartamento,,5,,3,,Apartamento 3 bedroom apartment centrally Madrid,https://lh3.googleusercontent.com/OmI4XCKQQ-XWvFPZz-8NmfJhhQizYKhwHEK-ofnRZK5Z0O1l2UamPmNzPDtKzqEmt7xYgcRqbPoCl_WxKoclNXscPJ1XCU3V9HAo=s926
onlyap509376,https://www.only-apartments.es/_/509376,-3.71209,40.40173,2017-11-30 19:56:38.185000,2018-04-15 03:01:31.209000,onlyap509376,Apartamento,,2,4,1,,Apartamento CENTRO -2 PIRAMIDES Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/6/66/66/20001573666606-993b6b15-3580-44fa-b2e3-b54714e4acc1.jpg
onlyap509375,https://www.only-apartments.es/_/509375,-3.7121,40.40173,2017-11-30 19:56:38.186000,2018-04-14 18:51:33.357000,onlyap509375,Apartamento,,6,4,2,,Apartamento CENTRO PIRAMIDES Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/86/66/66/20001573666686-886c58ac-5aff-4598-bedb-124ae8618a39.jpg
onlyap685895,https://www.only-apartments.es/_/685895,-3.7080817202377,40.406900558588,2017-11-30 19:56:38.185000,2018-01-04 15:20:26.868000,onlyap685895,Apartamento,,6,,2,,"Apartamento Alterhome, Campillo Madrid",https://lh3.googleusercontent.com/CKijskfBNVLsz6UHLO7JP6jYYkfeGE70NF0Lxh1FccMuz3W6tIkdIoQ8H7ZGzSvSOVNvB97ZaPufM6Z8lPrivzyOezr5dfNc-M8=s1042
onlyap21487,https://www.only-apartments.es/_/21487,-3.7068656000000146,40.4043135,2017-11-30 19:56:38.185000,2018-04-15 02:56:47.957000,onlyap21487,Apartamento,,6,4,2,,Apartamento APARTAMENTO RIBERA Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/87/14/2/21487-1507181158.jpg
onlyap21489,https://www.only-apartments.es/_/21489,-3.7068656000000146,40.4043135,2017-11-30 19:56:38.186000,2018-04-15 02:55:57.898000,onlyap21489,Apartamento,,6,14,2,,Apartamento APARTAMENTO EL RASTRO Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/89/14/2/21489-1676407609.jpg
onlyap21491,https://www.only-apartments.es/_/21491,-3.7068656000000146,40.4043135,2017-11-30 19:56:38.186000,2018-04-15 02:57:47.326000,onlyap21491,Apartamento,,6,5,2,,Apartamento APARTAMENTO CASCORRO Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/91/14/2/21491-075ff68b-e4fd-44e6-a591-a27e5a6dd044.jpg
onlyap21493,https://www.only-apartments.es/_/21493,-3.7068656000000146,40.4043135,2017-11-30 19:56:38.185000,2018-04-15 02:49:31.367000,onlyap21493,Apartamento,,6,7,2,,Apartamento APARTAMENTO ACACIAS Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/93/14/2/21493--394254388.jpg
